Periode;Jahr;Halbjahr;Quartal;Monat;Tag;Indikator;Einheit;Status;Produzent;Region / Geschäftspartner;Datentyp;Werte;Sortierkriterium des Indikators
Jahr;2001;;;;;BIP je Einwohner, real, auf VJ-Preisbasis - RJ2015;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;35087;AB000C001D010
Jahr;2001;;;;;BIP je Erwerbstätigen, real, auf VJ-Preisbasis - RJ2015;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;70953;AB000C001D011
Jahr;2001;;;;;Bruttolöhne und -Gehälter je Vollzeitäquivalent monatlich, nominell;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2510;AB000C011D000E006
Jahr;2001;;;;;Nettolöhne und -Gehälter je Vollzeitäquivalent monatlich, nominell;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1755;AB000C011D000E011
Jahr;2001;;;;;Forschungsquote (ESVG 2010);Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2,0;AB000C017D000
Jahr;2001;;;;;Leistungsbilanzquote ;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,8;AB000C017D001
Jahr;2001;;;;;Private Konsumquote;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;53,7;AB000C017D002
Jahr;2001;;;;;Investitionsquote;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;25,4;AB000C017D003
Jahr;2001;;;;;Warenimportquote (im engeren Sinn);Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;33,7;AB000C017D004
Jahr;2001;;;;;Importquote im weiteren Sinn;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;43,1;AB000C017D005
Jahr;2001;;;;;Warenexportquote (im engeren Sinn);Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;32,8;AB000C017D006
Jahr;2001;;;;;Exportquote im weiteren Sinn;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;44,9;AB000C017D007
Jahr;2001;;;;;Sparquote private Haushalte inkl. Priv. Dienste ohne Erwerbstätigkeit;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;9,3;AB000C017D008
Jahr;2001;;;;;Bildungsquote;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;5,0;AB000C017D009
Jahr;2001;;;;;Gesundheitsquote;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;9,8;AB000C017D010
Jahr;2001;;;;;Sozialquote;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;27,9;AB000C017D011
Jahr;2001;;;;;Abgabenquote;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;45,6;AB000C017D012
Jahr;2001;;;;;Bereinigte Lohnquote;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;71,4;AB000C017D013
Jahr;2001;;;;;Bruttoinlandsprodukt real, auf VJ-Preisbasis RJ2015,Veränd.zum VJ in %;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,3;AB000C018D012
Jahr;2001;;;;;Lohnstückkosten - Sachgütererzeugung Österreich, Ver. zum Vorjahr in %;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-1,0;AB003C000
Jahr;2001;;;;;Lohnstückkosten - Sachgütererzeugung Österr./Deutschland,Ver.z.Vj in%;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-1,3;AB003C001
Jahr;2001;;;;;Lohnstückkosten in d. Gesamtwirtschaft, 10=100 Veränd. z.Vorjahr in %;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,9;AB004C008
Jahr;2001;;;;;Beschäftigungsquote (15-64) - insgesamt, Definition EU;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;67,8;AB006
Jahr;2001;;;;;Arbeitslosenquote laut Eurostat, SA disc;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;5,2;AB016C027
Jahr;2002;;;;;BIP je Einwohner, nominell;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;27850;AB000C000D010
Jahr;2002;;;;;BIP je Erwerbstätigen, nominell;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;56572;AB000C000D011
Jahr;2002;;;;;BIP je Einwohner, real, auf VJ-Preisbasis - RJ2015;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;35433;AB000C001D010
Jahr;2002;;;;;BIP je Erwerbstätigen, real, auf VJ-Preisbasis - RJ2015;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;71975;AB000C001D011
Jahr;2002;;;;;Bruttolöhne und -Gehälter je Vollzeitäquivalent monatlich, nominell;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2582;AB000C011D000E006
Jahr;2002;;;;;Nettolöhne und -Gehälter je Vollzeitäquivalent monatlich, nominell;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1800;AB000C011D000E011
Jahr;2002;;;;;Forschungsquote (ESVG 2010);Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2,1;AB000C017D000
Jahr;2002;;;;;Leistungsbilanzquote ;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2,1;AB000C017D001
Jahr;2002;;;;;Private Konsumquote;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;53,1;AB000C017D002
Jahr;2002;;;;;Investitionsquote;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23,8;AB000C017D003
Jahr;2002;;;;;Warenimportquote (im engeren Sinn);Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;32,4;AB000C017D004
Jahr;2002;;;;;Importquote im weiteren Sinn;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;41,9;AB000C017D005
Jahr;2002;;;;;Warenexportquote (im engeren Sinn);Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;33,2;AB000C017D006
Jahr;2002;;;;;Exportquote im weiteren Sinn;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;45,7;AB000C017D007
Jahr;2002;;;;;Sparquote private Haushalte inkl. Priv. Dienste ohne Erwerbstätigkeit;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;9,4;AB000C017D008
