Periode;Jahr;Halbjahr;Quartal;Monat;Tag;Indikator;Einheit;Status;Produzent;Region / Geschäftspartner;Datentyp;Werte;Sortierkriterium des Indikators
Jahr;2000;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Schweden;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;24602;AB012C027
Jahr;2000;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Slowakische Republik;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;9429;AB012C028
Jahr;2000;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Vereinigtes Königreich;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;22037;AB012C029
Jahr;2000;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Norwegen;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;30719;AB012C030
Jahr;2000;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Schweiz;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;30190;AB012C031
Jahr;2000;;;;;Bruttoinlandsprodukt pro Kopf, KKS, USA;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;30149;AB012C032
Jahr;2000;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Japan;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;22614;AB012C033
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, EU-27;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;19222;AB012C000
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, EA;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;21849;AB012C001
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Belgien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23830;AB012C002
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Zypern;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;18926;AB012C003
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Deutschland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23723;AB012C004
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Irland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;26976;AB012C005
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Griechenland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;17346;AB012C006
