code;name;en_name;;;;;;;
C-J59-0;Pkw-Marken;Passenger car makes;;;;;;;
C-A10-0;Zeit (Monatswerte);Time (monthly values);;;;;;;
C-EK7-0;Fahrzeug;;;;;;;;
F-ISIS-1;Anzahl Neuzulassungen;Number of registrations of new vehicles;;;;;;;
